Title,Viewers,Publish_Time
مبادئ التسويق الرقمي | Digital Marketing Principles,2K views,11 day
تطبيق عملي: تقسيم العملاء | Customer Segmentation using RFM Analysis,2K views,2 week
الإحصاء للذكاء الاصطناعي وتعلم الآلة | Statistics for Machine Learning & Artificial Intelligence,3.1K views,1 month ago
إدارة الإعلانات على الإنترنت | Online Advertising 2020 (FB / IG / TW / IN / G / YT),2.6K views,2 month
رياضيات الشبكات العصبية الاصطناعية | ANNs Math (Gradient Descent / Backprobagation / Loss Functions),1.9K views,2 month
تسويق وتهيئة محركات البحث (الدورة الكاملة) | Search Engine Optimization & Marketing (SEO / SEM),3.4K views,2 month
تطبيقات علم البيانات في التسويق | Data Science Applications in Marketing,2.6K views,3 month
مبادئ تحليل البيانات التسويقية | Marketing Data Analytics Basics,2.6K views,4 month
تطبيق عملي: معالجة اللغات الطبيعية - تحليل المشاعر Sentiment Analysis - NLP using Machine Learning,2.7K views,4 month
مبادئ معالجة اللغات الطبيعية | Natural Language Processing (NLP) Basics,2.8K views,4 month
أساسيات التسويق لعالم البيانات | Marketing Basics for Data Scientist,2.5K views,4 month
مبادئ تعلم الآلة: مبادئ التعلم العميق | Deep Learning Foundations,3.2K views,4 month
أساسيات علم البيانات للمسوق | Data Science Basics for Marketer,2.8K views,4 month
علم البيانات للتسويق - المحاضرة التعريفية للدورة | Data Science for Marketing - Orientation Session,3.7K views,5 month
الإحصاء لتحليل البيانات | Statistics for Data Analysis,12K views,7 month
تطبيق عملي: مشروع كامل في تحليل البيانات | Full Data Analysis Project using Python & Power BI,84K views,7 month
استضافة التطبيقات والبرامج وبناء سابقة الأعمال (جيت هب) | Git & GitHub Basics & Portfolio,5.1K views,8 month
تطبيق عملي: مجتمع علم البيانات وبناء سابقة الأعمال | Kaggle Data Science Community & Portfolio,7K views,8 month
تطبيق عملي: تصميم التقارير في تابلو | Reporting & Dashboards in Tableau,8.9K views,9 month
تطبيق عملي: علم وتحليل البيانات في التسويق الرقمي | Data Science for Marketing Case-study,11K views,10 month
خوارزميات تعلم الآلة: خوارزمية الانحدار الخطي البسيط | Simple Linear Regression Algorithm,3.3K views,10 month
"خوارزميات تعلم الآلة: تقييم نماذج الانحدار | Regression Models Evaluation (MAE, MSE, RMSE, & R2)",3.2K views,10 month
الخطة التسويقية وإدارة العلامة التجارية | Digital Marketing Strategy & Brand Management,4.5K views,10 month
خوارزميات تعلم الآلة: خوارزمية الانحدار اللوجيستي (التصنيف) | Logistic Regression Algorithm,2.5K views,11 month
تصميم التقارير باستخدام باور بي آي | Reporting & Dashboards in MS Power BI,10K views,11 month
تصميم التقارير باستخدام جوجل داتا ستوديو | Reporting & Dashboards in Google Data Studio,9.6K views,11 month
خوارزميات تعلم الآلة: خوارزمية شجرة القرار (التصنيف) | Decision Tree Algorithm,3.2K views,11 month
دراسة وبحث السوق على الإنترنت | Online Market Research,6.3K views,11 month
الدورات المكثفة في علم وتحليل البيانات (معسكر علم البيانات) | Data Science & Analysis Bootcamp,3.1K views,1 year ago
خوارزميات تعلم الآلة: خوارزمية متجه الدعم الآلي (التصنيف) | Support Vector Machines Algorithm,3.1K views,1 year ago
